
Wife Element,Husband Element,Compatibility
Fire,Water,Not Compatible
Water,Fire,Not Compatible
Water,Earth,Compatible
Water,Air,Compatible
Water,Water,Compatible
Water,Water,Compatible
Fire,Air,Compatible
Air,Water,Compatible
Fire,Fire,Compatible
Water,Water,Compatible
Water,Air,Compatible
Earth,Air,Compatible
Fire,Air,Compatible
Earth,Earth,Compatible
Earth,Air,Compatible
Fire,Fire,Compatible
Fire,Fire,Compatible
Water,Water,Compatible
Air,Air,Compatible
Air,Fire,Compatible
Water,Earth,Compatible
Earth,Fire,Compatible
Fire,Air,Compatible
Air,Earth,Compatible
Earth,Air,Compatible
Earth,Water,Compatible
Fire,Water,Compatible
Earth,Fire,Compatible
Fire,Fire,Compatible
Earth,Air,Compatible
Water,Air,Compatible
Water,Earth,Compatible
Earth,Fire,Compatible
Water,Water,Compatible
Earth,Water,Compatible
Earth,Water,Compatible
Water,Water,Compatible
Air,Earth,Compatible
Water,Earth,Compatible
Water,Water,Compatible
Earth,Air,Compatible
Water,Earth,Compatible
Water,Water,Compatible
Earth,Air,Compatible
Fire,Water,Not Compatible
Fire,Fire,Compatible
Fire,Earth,Not Compatible
Earth,Air,Compatible
Earth,Earth,Compatible
Fire,Fire,Compatible
Air,Water,Compatible
Fire,Air,Compatible
Fire,Water,Not Compatible
Water,Fire,Not Compatible
Air,Water,Compatible
Fire,Air,Compatible
Fire,Fire,Compatible
Water,Fire,Not Compatible
Air,Water,Compatible
Fire,Air,Compatible
Fire,Fire,Compatible
Earth,Air,Compatible
